SL Chemistry ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,16,50,29,61,43,72,55,84,"65,66 ",93,78-85 ,97
1,3,17,51,30,62,44,73,56,85,67-70 ,94,86-92 ,98
2,7,18,52,"31,32 ",63,45,74,57,86,71-74 ,95,93-99 ,99
3,10,"19,20 ",53,33,64,46,75,58,87,75-77 ,96,100,100
4,13,21,54,34,65,47,76,"59,60 ",88,,,,
5,16,22,55,"35,36 ",66,48,77,61,89,,,,
6,20,23,56,37,67,49,78,62,90,,,,
7,23,24,57,38,68,50,79,63,91,,,,
8,26,"25,26 ",58,"39,40 ",69,51,80,64,92,,,,
9,29,27,59,41,70,52,81,,,,,,
10,33,28,60,42,71,53,82,,,,,,
11,36,,,,,54,83,,,,,,
12,39,,,,,,,,,,,,
13,42,,,,,,,,,,,,
14,46,,,,,,,,,,,,
15,49,,,,,,,,,,,,
HL Chemistry ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,20,50,37,61,50,72,61,84,"71,72 ",93,82-87 ,97
1,3,"21,22 ",51,38,62,51,73,62,85,73-75 ,94,88-92 ,98
2,5,23,52,39,63,52,74,63,86,76-79 ,95,93-99 ,99
3,8,"24,25 ",53,"40,41 ",64,53,75,64,87,"80,81 ",96,100,100
4,10,"26,27 ",54,42,65,54,76,"65,66 ",88,,,,
5,13,28,55,43,66,55,78,67,89,,,,
6,15,"29,30 ",56,44,67,56,79,68,90,,,,
7,18,31,57,45,68,57,80,69,91,,,,
8,20,"32,33 ",58,"46,47 ",69,58,81,70,92,,,,
9,23,"34,35 ",59,48,70,59,82,,,,,,
10,26,36,60,49,71,60,83,,,,,,
11,28,,,,,,,,,,,,
12,31,,,,,,,,,,,,
13,34,,,,,,,,,,,,
14,36,,,,,,,,,,,,
15,39,,,,,,,,,,,,
16,41,,,,,,,,,,,,
17,44,,,,,,,,,,,,
18,46,,,,,,,,,,,,
19,49,,,,,,,,,,,,
SL Biology ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,16,50,30,61,45,72,60,84,"70,71 ",93,80-85 ,97
1,3,17,51,"31,32 ",62,46,73,61,85,72-74 ,94,87-93 ,98
2,7,"18,19 ",52,33,63,"47,48 ",74,62,86,75-77 ,95,93-99 ,99
3,10,20,53,34,64,49,75,63,87,"78,79 ",96,100,100
4,13,21,54,"35,36 ",65,50,76,"64,65 ",88,,,,
5,16,"22,23 ",55,37,66,51,77,66,89,,,,
6,20,24,56,"38,39 ",67,"52,53 ",78,67,90,,,,
7,23,25,57,40,68,54,79,68,91,,,,
8,26,"26,27 ",58,41,69,55,80,69,92,,,,
9,29,28,59,"42,43 ",70,"56,57 ",81,,,,,,
10,33,29,60,44,71,58,82,,,,,,
11,36,,,,,59,83,,,,,,
12,39,,,,,,,,,,,,
13,42,,,,,,,,,,,,
14,46,,,,,,,,,,,,
15,49,,,,,,,,,,,,
HL Biology ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,16,50,30,61,45,72,60,84,72-75 ,93,83-88 ,97
1,3,17,51,"31,32 ",62,46,73,"61,62 ",85,"76,77 ",94,89-94 ,98
2,7,"18,19 ",52,33,63,"47,48 ",74,63,86,78-80 ,95,95-99 ,99
3,10,20,53,34,64,49,75,64,87,"81,82 ",96,100,100
4,13,21,54,"35,36 ",65,50,76,"65,66 ",88,,,,
5,16,"22,23 ",55,37,66,51,77,67,89,,,,
6,20,24,56,"38,39 ",67,"52,53 ",78,68,90,,,,
7,23,25,57,40,68,54,79,"69,70 ",91,,,,
8,26,"26,27 ",58,41,69,55,80,71,92,,,,
9,29,28,59,"42,43 ",70,"56,57 ",81,,,,,,
10,33,29,60,44,71,58,82,,,,,,
11,36,,,,,59,83,,,,,,
12,39,,,,,,,,,,,,
13,42,,,,,,,,,,,,
14,46,,,,,,,,,,,,
15,49,,,,,,,,,,,,
SL Physics ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,15,50,26,61,37,72,50,84,"60,61 ",93,70-79 ,97
1,4,16,51,27,62,38,73,51,85,62-64 ,94,80-89 ,98
2,7,17,52,28,63,39,74,52,86,65-67 ,95,90-99 ,99
3,11,18,53,29,64,40,75,53,87,"68,69 ",96,100,100
4,14,19,54,30,65,41,76,"54,55 ",88,,,,
5,18,20,55,31,66,42,77,56,89,,,,
6,21,21,56,32,67,"43,44 ",78,57,90,,,,
7,25,22,57,33,68,45,79,58,91,,,,
8,28,23,58,34,69,46,80,59,92,,,,
9,32,24,59,35,70,47,81,,,,,,
10,35,25,60,36,71,48,82,,,,,,
11,39,,,,,49,83,,,,,,
12,42,,,,,,,,,,,,
13,46,,,,,,,,,,,,
14,49,,,,,,,,,,,,
HL Geography ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,13,50,29,61,43,72,53,84,"64,65 ",93,75-82 ,97
1,4,"14,15 ",51,30,62,44,73,54,85,66-68 ,94,83-89 ,98
2,8,16,52,"31,32 ",63,45,74,"55,56 ",86,69-72 ,95,90-96 ,99
3,12,"17,18 ",53,33,64,46,76,57,87,"73,74 ",96,97-100 ,100
4,16,19,54,34,65,47,77,58,88,,,,
5,20,"20,21 ",55,"35,36 ",66,48,78,59,89,,,,
6,25,22,56,37,67,49,79,"60,61 ",90,,,,
7,29,"23,24 ",57,38,68,50,81,62,91,,,,
8,33,25,58,"39,40 ",69,51,82,63,92,,,,
9,37,"26,27 ",59,41,70,52,83,,,,,,
